dotaz,zamer,shluk,objem,zdroj_objemu,pokryti,priorita,cilova_adresa,poznamka
Viktória význam jména,pruzkumny,vyznam-jmena,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,3,/jmeno/viktoria,
Viktorie význam jména,pruzkumny,vyznam-jmena,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,3,/jmeno/viktorie,
Vojtěch význam jména,pruzkumny,vyznam-jmena,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,3,/jmeno/vojtech,
Wanda význam jména,pruzkumny,vyznam-jmena,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,3,/jmeno/wanda,
William význam jména,pruzkumny,vyznam-jmena,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,3,/jmeno/william,
Willow význam jména,pruzkumny,vyznam-jmena,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,3,/jmeno/willow,
Wojtek význam jména,pruzkumny,vyznam-jmena,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,3,/jmeno/wojtek,
Yuki význam jména,pruzkumny,vyznam-jmena,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,3,/jmeno/yuki,
Yuzu význam jména,pruzkumny,vyznam-jmena,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,3,/jmeno/yuzu,
Zeca význam jména,pruzkumny,vyznam-jmena,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,3,/jmeno/zeca,
Zofia význam jména,pruzkumny,vyznam-jmena,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,3,/jmeno/zofia,
Zora význam jména,pruzkumny,vyznam-jmena,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,3,/jmeno/zora,
Zuzana význam jména,pruzkumny,vyznam-jmena,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,3,/jmeno/zuzana,
Zuzanna význam jména,pruzkumny,vyznam-jmena,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,3,/jmeno/zuzanna,
jména ze země Argentina,pruzkumny,zeme-pouziti,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,2.1,/zeme/ar,"formulace odhadnutá — skutečné dotazy bývají „norská jména"", ne „jména ze země Norsko"""
jména ze země Austrálie,pruzkumny,zeme-pouziti,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,2.1,/zeme/au,"formulace odhadnutá — skutečné dotazy bývají „norská jména"", ne „jména ze země Norsko"""
jména ze země Brazílie,pruzkumny,zeme-pouziti,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,2.1,/zeme/br,"formulace odhadnutá — skutečné dotazy bývají „norská jména"", ne „jména ze země Norsko"""
jména ze země Česko,pruzkumny,zeme-pouziti,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,2.1,/zeme/cz,"formulace odhadnutá — skutečné dotazy bývají „norská jména"", ne „jména ze země Norsko"""
jména ze země Egypt,pruzkumny,zeme-pouziti,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,2.1,/zeme/eg,"formulace odhadnutá — skutečné dotazy bývají „norská jména"", ne „jména ze země Norsko"""
jména ze země Francie,pruzkumny,zeme-pouziti,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,2.1,/zeme/fr,"formulace odhadnutá — skutečné dotazy bývají „norská jména"", ne „jména ze země Norsko"""
jména ze země Indie,pruzkumny,zeme-pouziti,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,2.1,/zeme/in,"formulace odhadnutá — skutečné dotazy bývají „norská jména"", ne „jména ze země Norsko"""
jména ze země Irsko,pruzkumny,zeme-pouziti,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,2.1,/zeme/ie,"formulace odhadnutá — skutečné dotazy bývají „norská jména"", ne „jména ze země Norsko"""
jména ze země Itálie,pruzkumny,zeme-pouziti,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,2.1,/zeme/it,"formulace odhadnutá — skutečné dotazy bývají „norská jména"", ne „jména ze země Norsko"""
jména ze země Japonsko,pruzkumny,zeme-pouziti,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,2.1,/zeme/jp,"formulace odhadnutá — skutečné dotazy bývají „norská jména"", ne „jména ze země Norsko"""
jména ze země Jižní Korea,pruzkumny,zeme-pouziti,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,2.1,/zeme/kr,"formulace odhadnutá — skutečné dotazy bývají „norská jména"", ne „jména ze země Norsko"""
jména ze země Kanada,pruzkumny,zeme-pouziti,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,2.1,/zeme/ca,"formulace odhadnutá — skutečné dotazy bývají „norská jména"", ne „jména ze země Norsko"""
jména ze země Německo,pruzkumny,zeme-pouziti,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,2.1,/zeme/de,"formulace odhadnutá — skutečné dotazy bývají „norská jména"", ne „jména ze země Norsko"""
jména ze země Nizozemsko,pruzkumny,zeme-pouziti,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,2.1,/zeme/nl,"formulace odhadnutá — skutečné dotazy bývají „norská jména"", ne „jména ze země Norsko"""
jména ze země Norsko,pruzkumny,zeme-pouziti,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,2.1,/zeme/no,"formulace odhadnutá — skutečné dotazy bývají „norská jména"", ne „jména ze země Norsko"""
jména ze země Nový Zéland,pruzkumny,zeme-pouziti,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,2.1,/zeme/nz,"formulace odhadnutá — skutečné dotazy bývají „norská jména"", ne „jména ze země Norsko"""
jména ze země Polsko,pruzkumny,zeme-pouziti,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,2.1,/zeme/pl,"formulace odhadnutá — skutečné dotazy bývají „norská jména"", ne „jména ze země Norsko"""
jména ze země Portugalsko,pruzkumny,zeme-pouziti,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,2.1,/zeme/pt,"formulace odhadnutá — skutečné dotazy bývají „norská jména"", ne „jména ze země Norsko"""
jména ze země Řecko,pruzkumny,zeme-pouziti,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,2.1,/zeme/gr,"formulace odhadnutá — skutečné dotazy bývají „norská jména"", ne „jména ze země Norsko"""
jména ze země Slovensko,pruzkumny,zeme-pouziti,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,2.1,/zeme/sk,"formulace odhadnutá — skutečné dotazy bývají „norská jména"", ne „jména ze země Norsko"""
jména ze země Španělsko,pruzkumny,zeme-pouziti,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,2.1,/zeme/es,"formulace odhadnutá — skutečné dotazy bývají „norská jména"", ne „jména ze země Norsko"""
jména ze země Švédsko,pruzkumny,zeme-pouziti,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,2.1,/zeme/se,"formulace odhadnutá — skutečné dotazy bývají „norská jména"", ne „jména ze země Norsko"""
jména ze země Ukrajina,pruzkumny,zeme-pouziti,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,2.1,/zeme/ua,"formulace odhadnutá — skutečné dotazy bývají „norská jména"", ne „jména ze země Norsko"""
jména ze země USA,pruzkumny,zeme-pouziti,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,2.1,/zeme/us,"formulace odhadnutá — skutečné dotazy bývají „norská jména"", ne „jména ze země Norsko"""
jména ze země Velká Británie,pruzkumny,zeme-pouziti,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,2.1,/zeme/gb,"formulace odhadnutá — skutečné dotazy bývají „norská jména"", ne „jména ze země Norsko"""
jmeniny kdy má svátek,navigacni,jmeniny,neznamy,zadny-nastroj-hledanosti-k-dispozici,chybi,2,,kalendář svátků není samostatná sekce; data v extra.ts jsou
svět jmen,navigacni,katalog,neznamy,zadny-nastroj-hledanosti-k-dispozici,odpovida,1,/,značka
